iter	Passed	Remaining
1358	38806	18303
1359	38833	18274
1360	38857	18243
1361	38882	18213
1362	38913	18186
1363	38940	18156
1364	38965	18126
1365	38989	18095
1366	39016	18066
1367	39040	18036
1368	39066	18006
1369	39092	17976
1370	39118	17947
1371	39145	17917
1372	39169	17887
1373	39199	17859
1374	39225	17829
1375	39252	17800
1376	39276	17769
1377	39301	17739
1378	39328	17710
1379	39356	17681
1380	39379	17651
1381	39406	17621
1382	39433	17592
1383	39457	17561
1384	39489	17534
1385	39520	17507
1386	39548	17478
1387	39576	17450
1388	39610	17423
1389	39638	17395
1390	39665	17366
1391	39692	17336
1392	39718	17307
1393	39745	17278
1394	39770	17247
1395	39800	17220
1396	39824	17189
1397	39852	17161
1398	39880	17132
1399	39913	17105
1400	39937	17075
1401	39962	17045
1402	39985	17014
1403	40014	16986
1404	40043	16957
1405	40066	16926
1406	40092	16897
1407	40115	16866
1408	40140	16836
1409	40166	16807
1410	40190	16776
1411	40215	16746
1412	40241	16717
1413	40266	16687
1414	40293	16658
1415	40319	16629
1416	40348	16600
1417	40372	16570
1418	40398	16540
1419	40422	16510
1420	40446	16480
1421	40474	16451
1422	40497	16420
1423	40521	16390
1424	40551	16362
1425	40577	16333
1426	40601	16303
1427	40626	16273
1428	40652	16244
1429	40676	16213
1430	40702	16184
1431	40726	16153
1432	40753	16125
1433	40780	16095
1434	40807	16067
1435	40832	16037
1436	40858	16007
1437	40888	15980
1438	40916	15951
1439	40944	15923
1440	40967	15892
1441	40993	15862
1442	41020	15833
1443	41043	15803
1444	41066	15773
1445	41094	15744
1446	41119	15714
1447	41148	15686
1448	41172	15656
1449	41198	15627
1450	41227	15598
1451	41252	15569
1452	41278	15539
1453	41304	15510
1454	41331	15481
1455	41358	15452
1456	41383	15422
1457	41407	15393
1458	41434	15364
1459	41459	15334
1460	41485	15305
1461	41514	15276
1462	41538	15246
1463	41568	15219
1464	41591	15188
1465	41614	15158
1466	41665	15138
1467	41691	15109
1468	41723	15081
1469	41755	15054
1470	41779	15024
1471	41805	14995
1472	41833	14966
1473	41857	14936
1474	41883	14907
1475	41910	14878
1476	41932	14848
1477	41958	14819
1478	41983	14789
1479	42007	14759
1480	42033	14730
1481	42059	14700
1482	42087	14672
1483	42116	14644
1484	42144	14615
1485	42173	14587
1486	42196	14557
1487	42221	14527
1488	42244	14497
1489	42270	14468
1490	42296	14439
1491	42322	14409
1492	42345	14379
1493	42371	14350
1494	42397	14321
1495	42425	14292
1496	42456	14265
1497	42482	14236
1498	42510	14207
1499	42533	14177
1500	42558	14148
1501	42582	14118
1502	42609	14089
1503	42636	14060
1504	42663	14032
1505	42686	14002
1506	42711	13972
1507	42739	13944
1508	42769	13916
1509	42793	13886
1510	42824	13859
1511	42851	13830
1512	42879	13802
1513	42905	13772
1514	42932	13743
1515	42957	13714
1516	42986	13686
1517	43015	13658
1518	43040	13628
1519	43065	13599
1520	43089	13569
1521	43119	13542
1522	43145	13513
1523	43172	13484
1524	43198	13455
1525	43224	13426
1526	43248	13396
1527	43275	13367
1528	43300	13338
1529	43324	13308
1530	43353	13280
1531	43378	13251
1532	43400	13221
1533	43429	13193
1534	43457	13164
1535	43483	13135
1536	43508	13106
1537	43536	13077
1538	43563	13049
1539	43590	13020
1540	43614	12990
1541	43641	12962
1542	43667	12933
